drug_name,medical_condition,activity,rx_otc,pregnancy_category,alcohol
methamphetamine,ADHD,5,Rx,C,X
modafinil,ADHD,5,Rx,C,N
Metadate CD,ADHD,4,Rx,C,X
Methylin ER,ADHD,3,Rx,C,X
omega-3 polyunsaturated fatty acids,ADHD,3,Rx/OTC,C,N
ProCentra,ADHD,3,Rx,C,X
selegiline,ADHD,3,Rx,C,X
Zenzedi,ADHD,3,Rx,C,X
Adhansia XR,ADHD,2,Rx,C,X
Aptensio XR,ADHD,2,Rx,C,X
armodafinil,ADHD,2,Rx,C,N
desvenlafaxine,ADHD,2,Rx,C,X
Evekeo,ADHD,2,Rx,C,X
Mydayis,ADHD,2,Rx,C,X
Relexxii,ADHD,2,Rx,C,X
Adzenys ER,ADHD,1,Rx,C,X
Adzenys XR-ODT,ADHD,1,Rx,C,X
desipramine,ADHD,1,Rx,N,X
Dyanavel XR,ADHD,1,Rx,C,X
Evekeo ODT,ADHD,1,Rx,C,X
imipramine,ADHD,1,Rx,N,X
Truvada,AIDS/HIV,97,Rx,B,N
Triumeq,AIDS/HIV,71,Rx,C,X
Genvoya,AIDS/HIV,61,Rx,B,N
Stribild,AIDS/HIV,60,Rx,B,N
Atripla,AIDS/HIV,57,Rx,D,X
Norvir,AIDS/HIV,50,Rx,B,N
Isentress,AIDS/HIV,40,Rx,C,N
Tivicay,AIDS/HIV,35,Rx,B,N
abacavir / dolutegravir / lamivudine,AIDS/HIV,34,Rx,C,X
Prezista,AIDS/HIV,34,Rx,C,N
cobicistat / elvitegravir / emtricitabine / tenofovir,AIDS/HIV,33,Rx,B,N
Complera,AIDS/HIV,20,Rx,B,N
Reyataz,AIDS/HIV,20,Rx,B,N
Epzicom,AIDS/HIV,18,Rx,C,X
ritonavir,AIDS/HIV,17,Rx,B,N
lamivudine,AIDS/HIV,16,Rx,C,N
tenofovir,AIDS/HIV,14,Rx,B,N
Viread,AIDS/HIV,14,Rx,B,N
dolutegravir,AIDS/HIV,13,Rx,B,N
Kaletra,AIDS/HIV,13,Rx,C,N
Epivir,AIDS/HIV,12,Rx,C,N
Intelence,AIDS/HIV,12,Rx,B,N
Sustiva,AIDS/HIV,12,Rx,D,X
abacavir,AIDS/HIV,11,Rx,C,X
efavirenz / emtricitabine / tenofovir,AIDS/HIV,10,Rx,D,X
emtricitabine / tenofovir,AIDS/HIV,10,Rx,B,N
darunavir,AIDS/HIV,9,Rx,C,N
efavirenz,AIDS/HIV,9,Rx,D,X
raltegravir,AIDS/HIV,9,Rx,C,N
abacavir / lamivudine,AIDS/HIV,8,Rx,C,X
Prezcobix,AIDS/HIV,8,Rx,C,N
Viramune,AIDS/HIV,8,Rx,B,N
Combivir,AIDS/HIV,7,Rx,C,N
Ziagen,AIDS/HIV,7,Rx,C,X
zidovudine,AIDS/HIV,7,Rx,C,N
atazanavir,AIDS/HIV,6,Rx,B,N
emtricitabine,AIDS/HIV,6,Rx,B,N
Emtriva,AIDS/HIV,6,Rx,B,N
Edurant,AIDS/HIV,5,Rx,B,N
Lexiva,AIDS/HIV,5,Rx,C,N
nevirapine,AIDS/HIV,5,Rx,B,N
Retrovir,AIDS/HIV,5,Rx,C,N
Selzentry,AIDS/HIV,5,Rx,B,N
Trizivir,AIDS/HIV,4,Rx,C,X
Epivir-HBV,AIDS/HIV,3,Rx,C,N
etravirine,AIDS/HIV,3,Rx,B,N
Isentress HD,AIDS/HIV,3,Rx,C,N
lopinavir / ritonavir,AIDS/HIV,3,Rx,C,N
maraviroc,AIDS/HIV,3,Rx,B,N
Tivicay PD,AIDS/HIV,3,Rx,B,N
Viramune XR,AIDS/HIV,3,Rx,B,N
AccessPak for HIV PEP Basic,AIDS/HIV,2,Rx,B,N
emtricitabine / rilpivirine / tenofovir,AIDS/HIV,2,Rx,B,N
Evotaz,AIDS/HIV,2,Rx,B,N
Fuzeon,AIDS/HIV,2,Rx,B,N
lamivudine / zidovudine,AIDS/HIV,2,Rx,C,N
Viracept,AIDS/HIV,2,Rx,B,N
abacavir / lamivudine / zidovudine,AIDS/HIV,1,Rx,C,X
Aptivus,AIDS/HIV,1,Rx,C,N
cobicistat / darunavir,AIDS/HIV,1,Rx,C,N
cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,AIDS/HIV,1,Rx,B,N
cobicistat,AIDS/HIV,1,Rx,B,N
elvitegravir,AIDS/HIV,1,Rx,B,N
enfuvirtide,AIDS/HIV,1,Rx,B,N
immune globulin intravenous,AIDS/HIV,1,Rx,C,N
Invirase,AIDS/HIV,1,Rx,B,N
nelfinavir,AIDS/HIV,1,Rx,B,N
rilpivirine,AIDS/HIV,1,Rx,B,N
saquinavir,AIDS/HIV,1,Rx,B,N
Tybost,AIDS/HIV,1,Rx,B,N
AccessPak for HIV PEP Expanded with Kaletra,AIDS/HIV,0,Rx,C,N
AccessPak for HIV PEP Expanded with Viracept,AIDS/HIV,0,Rx,B,N
atazanavir / cobicistat,AIDS/HIV,0,Rx,B,N
emtricitabine / lopinavir / ritonavir / tenofovir,AIDS/HIV,0,Rx,C,N
emtricitabine / nelfinavir / tenofovir,AIDS/HIV,0,Rx,B,N
fosamprenavir,AIDS/HIV,0,Rx,C,N
tipranavir,AIDS/HIV,0,Rx,C,N
Triumeq PD,AIDS/HIV,0,Rx,C,X
hydroxyzine,Allergies,83,Rx,N,X
levocetirizine,Allergies,75,Rx/OTC,B,X
loratadine,Allergies,74,Rx/OTC,B,N
Xyzal,Allergies,54,Rx,B,X
doxylamine,Allergies,9,Rx/OTC,B,X
corticotropin,Allergies,8,Rx,C,N
Acthar,Allergies,5,Rx,C,N
dexbrompheniramine,Allergies,4,OTC,C,X
Ala-Hist IR,Allergies,2,OTC,C,X
dexbrompheniramine / phenylephrine,Allergies,2,OTC,C,X
Equaline Sleep Aid,Allergies,1,Rx/OTC,B,X
Equate Sleep Aid,Allergies,1,Rx/OTC,B,X
H.P. Acthar Gel,Allergies,1,Rx,C,N
Aricept,Alzheimer's,98,Rx,C,N
donepezil,Alzheimer's,85,Rx,C,N
Namenda,Alzheimer's,84,Rx,B,N
memantine,Alzheimer's,64,Rx,B,N
etanercept,Alzheimer's,33,Rx,B,N
Exelon,Alzheimer's,26,Rx,B,N
galantamine,Alzheimer's,19,Rx,C,N
Namenda XR,Alzheimer's,19,Rx,B,N
rivastigmine,Alzheimer's,17,Rx,B,N
Aricept ODT,Alzheimer's,11,Rx,C,N
Namzaric,Alzheimer's,9,Rx,C,N
vitamin e,Alzheimer's,9,Rx/OTC,C,N
donepezil / memantine,Alzheimer's,8,Rx,C,N
Razadyne,Alzheimer's,6,Rx,C,N
Razadyne ER,Alzheimer's,6,Rx,C,N
Adlarity,Alzheimer's,5,Rx,C,N
Hydergine,Alzheimer's,3,Rx,N,N
Alpha E,Alzheimer's,2,Rx/OTC,C,N
ergoloid mesylates,Alzheimer's,2,Rx,N,N
Aqua Gem-E,Alzheimer's,1,Rx/OTC,C,N
Aquasol E,Alzheimer's,1,Rx/OTC,C,N
E-400 Clear,Alzheimer's,1,Rx/OTC,C,N
E-600,Alzheimer's,1,Rx/OTC,C,N
E-Gems,Alzheimer's,1,Rx/OTC,C,N
E Pherol,Alzheimer's,1,Rx/OTC,C,N
aspirin,Angina,87,Rx/OTC,N,X
nitroglycerin,Angina,79,Rx,C,X
Ranexa,Angina,67,Rx,C,N
metoprolol,Angina,50,Rx,C,X
isosorbide mononitrate,Angina,42,Rx,C,N
amlodipine,Angina,39,Rx,C,N
Nitrostat,Angina,35,Rx,C,X
ranolazine,Angina,26,Rx,C,N
enoxaparin,Angina,24,Rx,B,N
isosorbide dinitrate,Angina,23,Rx,C,N
atenolol,Angina,19,Rx,D,X
carvedilol,Angina,18,Rx,C,X
Norvasc,Angina,15,Rx,C,N
Lopressor,Angina,13,Rx,C,X
Bayer Aspirin,Angina,12,Rx/OTC,N,X
Coreg,Angina,11,Rx,C,X
Toprol-XL,Angina,11,Rx,C,X
amlodipine / atorvastatin,Angina,9,Rx,X,X
Ecotrin,Angina,9,Rx/OTC,N,X
propranolol,Angina,9,Rx,C,X
Easprin,Angina,8,Rx,N,X
Nitrolingual Pumpspray,Angina,8,Rx,C,X
verapamil,Angina,8,Rx,C,X
Bayer Aspirin Regimen,Angina,6,Rx/OTC,N,X
Caduet,Angina,6,Rx,X,X
Aspir-Low,Angina,5,Rx/OTC,N,X
Katerzia,Angina,5,Rx,C,N
Lovenox,Angina,5,Rx,B,N
Norliqva,Angina,5,Rx,C,N
Arthritis Pain,Angina,4,Rx/OTC,N,X
Ascriptin,Angina,4,Rx/OTC,N,X
Aspergum,Angina,4,Rx/OTC,N,X
Aspiritab,Angina,4,Rx/OTC,N,X
Aspirtab,Angina,4,Rx/OTC,N,X
Bayer Aspirin Extra Strength Plus,Angina,4,Rx/OTC,N,X
Ecpirin,Angina,4,Rx/OTC,N,X
Entercote,Angina,4,Rx/OTC,N,X
Genacote,Angina,4,Rx/OTC,N,X
Halfprin,Angina,4,Rx/OTC,N,X
Nitro-Dur,Angina,4,Rx,C,X
Norwich Aspirin,Angina,4,Rx/OTC,N,X
Tenormin,Angina,4,Rx,D,X
Vazalore,Angina,4,Rx/OTC,N,X
Coreg CR,Angina,3,Rx,C,X
Corgard,Angina,3,Rx,C,X
heparin,Angina,3,Rx,C,N
Inderal LA,Angina,3,Rx,C,X
Kapspargo Sprinkle,Angina,3,Rx,C,X
Nitro-Bid,Angina,3,Rx,C,X
Fragmin,Angina,2,Rx,B,N
nadolol,Angina,2,Rx,C,X
Nitro TD Patch-A,Angina,2,Rx,C,X
amyl nitrite,Angina,1,Rx,C,N
Angiomax,Angina,1,Rx,B,N
bivalirudin,Angina,1,Rx,B,N
Calan SR,Angina,1,Rx,C,X
dalteparin,Angina,1,Rx,B,N
Dilatrate-SR,Angina,1,Rx,C,N
eptifibatide,Angina,1,Rx,B,N
GoNitro,Angina,1,Rx,C,X
Integrilin,Angina,1,Rx,B,N
Isochron,Angina,1,Rx,C,N
IsoDitrate,Angina,1,Rx,C,N
Isordil Titradose,Angina,1,Rx,C,N
Minitran,Angina,1,Rx,C,X
Nitro-Time,Angina,1,Rx,C,X
NitroMist,Angina,1,Rx,C,X
timolol,Angina,1,Rx,C,X
Verelan,Angina,1,Rx,C,X
Verelan PM,Angina,1,Rx,C,X
Aspruzyo Sprinkle,Angina,0,Rx,C,N
Xanax,Anxiety,94,Rx,D,X
clonazepam,Anxiety,78,Rx,D,X
alprazolam,Anxiety,67,Rx,D,X
lorazepam,Anxiety,59,Rx,D,X
buspirone,Anxiety,55,Rx,B,X
diazepam,Anxiety,55,Rx,D,X
Ativan,Anxiety,50,Rx,D,X
hydroxyzine,Anxiety,48,Rx,N,X
Lexapro,Anxiety,42,Rx,C,X
BuSpar,Anxiety,34,Rx,B,X
escitalopram,Anxiety,28,Rx,C,X
Valium,Anxiety,27,Rx,D,X
gabapentin,Anxiety,26,Rx,C,X
propranolol,Anxiety,20,Rx,C,X
Cymbalta,Anxiety,19,Rx,C,X
bupropion,Anxiety,16,Rx,C,X
Effexor XR,Anxiety,15,Rx,C,X
trazodone,Anxiety,15,Rx,C,X
duloxetine,Anxiety,12,Rx,C,X
Paxil,Anxiety,12,Rx,D,X
clonidine,Anxiety,11,Rx,C,X
venlafaxine,Anxiety,11,Rx,C,X
mirtazapine,Anxiety,10,Rx,C,X
paroxetine,Anxiety,9,Rx,D,X
Alprazolam Intensol,Anxiety,7,Rx,D,X
lamotrigine,Anxiety,7,Rx,C,X
tramadol,Anxiety,7,Rx,C,X
atenolol,Anxiety,5,Rx,D,X
risperidone,Anxiety,5,Rx,C,X
Tenormin,Anxiety,5,Rx,D,X
Tranxene,Anxiety,5,Rx,N,X
Lorazepam Intensol,Anxiety,4,Rx,D,X
clorazepate,Anxiety,3,Rx,N,X
doxepin,Anxiety,3,Rx,N,X
oxazepam,Anxiety,3,Rx,N,X
Paxil CR,Anxiety,3,Rx,D,X
amitriptyline / perphenazine,Anxiety,2,Rx,N,X
chlordiazepoxide,Anxiety,2,Rx,N,X
desvenlafaxine,Anxiety,2,Rx,C,X
Diazepam Intensol,Anxiety,2,Rx,D,X
Loreev XR,Anxiety,2,Rx,D,X
oxcarbazepine,Anxiety,2,Rx,C,X
Pexeva,Anxiety,2,Rx,D,X
phenytoin,Anxiety,2,Rx,D,X
prochlorperazine,Anxiety,2,Rx/OTC,N,X
amitriptyline / chlordiazepoxide,Anxiety,1,Rx,N,X
Compro,Anxiety,1,Rx/OTC,N,X
Corgard,Anxiety,1,Rx,C,X
meprobamate,Anxiety,1,Rx,N,X
nadolol,Anxiety,1,Rx,C,X
nefazodone,Anxiety,1,Rx,C,X
Tranxene T-Tab,Anxiety,1,Rx,N,X
trifluoperazine,Anxiety,1,Rx,N,X
vilazodone,Anxiety,1,Rx,C,X
Singulair,Asthma,92,Rx,B,N
montelukast,Asthma,88,Rx,B,N
prednisone,Asthma,49,Rx,C,N
Nucala,Asthma,32,Rx,N,N
mepolizumab,Asthma,31,Rx,N,N
Dulera,Asthma,22,Rx,C,N
Atrovent,Asthma,18,Rx,B,N
Breo Ellipta,Asthma,18,Rx,C,N
ipratropium,Asthma,12,Rx,B,N
methylprednisolone,Asthma,10,Rx,C,N
Atrovent HFA,Asthma,8,Rx,B,N
dexamethasone,Asthma,8,Rx,C,N
Alvesco,Asthma,7,Rx,C,N
levalbuterol,Asthma,7,Rx,C,N
Ipratropium Inhalation Solution,Asthma,6,Rx,B,N
Rayos,Asthma,6,Rx,C,N
fluticasone / vilanterol,Asthma,5,Rx,C,N
formoterol / mometasone,Asthma,5,Rx,C,N
Medrol,Asthma,5,Rx,C,N
MethylPREDNISolone Dose Pack,Asthma,5,Rx,C,N
triamcinolone,Asthma,5,Rx,C,N
Dexamethasone Intensol,Asthma,4,Rx,C,N
Kenalog-40,Asthma,4,Rx,C,N
Medrol Dosepak,Asthma,4,Rx,C,N
Depo-Medrol,Asthma,3,Rx,C,N
Solu-Medrol,Asthma,3,Rx,C,N
Xopenex,Asthma,3,Rx,C,N
Xopenex HFA,Asthma,3,Rx,C,N
caffeine,Asthma,2,Rx/OTC,C,N
ciclesonide,Asthma,2,Rx,C,N
De-Sone LA,Asthma,2,Rx,C,N
Dxevo,Asthma,2,Rx,C,N
dyphylline / guaifenesin,Asthma,2,Rx,C,N
Ipratropium Inhalation Aerosol,Asthma,2,Rx,B,N
Xopenex Concentrate,Asthma,1,Rx,C,N
Difil-G Forte,Asthma,0,Rx,C,N
Lamictal,Bipolar Disorder,96,Rx,C,X
lamotrigine,Bipolar Disorder,71,Rx,C,X
Latuda,Bipolar Disorder,63,Rx,B,X
Seroquel,Bipolar Disorder,55,Rx,C,X
Abilify,Bipolar Disorder,45,Rx,C,X
topiramate,Bipolar Disorder,43,Rx,D,X
lithium,Bipolar Disorder,37,Rx,D,X
lurasidone,Bipolar Disorder,34,Rx,B,X
Abilify Maintena,Bipolar Disorder,32,Rx,C,X
quetiapine,Bipolar Disorder,26,Rx,C,X
Depakote,Bipolar Disorder,23,Rx,D,X
gabapentin,Bipolar Disorder,22,Rx,C,X
bupropion,Bipolar Disorder,19,Rx,C,X
clonazepam,Bipolar Disorder,19,Rx,D,X
Seroquel XR,Bipolar Disorder,17,Rx,C,X
divalproex sodium,Bipolar Disorder,16,Rx,D,X
Risperdal,Bipolar Disorder,16,Rx,C,X
Geodon,Bipolar Disorder,15,Rx,C,X
oxcarbazepine,Bipolar Disorder,15,Rx,C,X
sertraline,Bipolar Disorder,14,Rx,C,X
Zyprexa,Bipolar Disorder,14,Rx,C,X
risperidone,Bipolar Disorder,13,Rx,C,X
aripiprazole,Bipolar Disorder,12,Rx,C,X
Depakote ER,Bipolar Disorder,12,Rx,D,X
olanzapine,Bipolar Disorder,11,Rx,C,X
Saphris,Bipolar Disorder,11,Rx,C,X
